price,country,rating,reviews,Region,skills_list,level,categories,skills_list_standardization,Extracted_Skills_from_description_list
5,India,5.0,1084,Asia,"['SEOInternet', 'MarketingLink', 'BuildingMarketingDigital', 'Marketing']",5,['Other'],"['Internet', 'Marketing', 'Link', 'Building', 'Marketing', 'Digital', 'Marketing']","[' Digital', 'SEO', ' SEO', ' Help', ' Skills', ' Google', ' Design', ' Client', ' Services', ' website', ' experience', ' years', ' Content', ' professional']"
25,India,5.0,520,Asia,"['Mobile', 'App', 'DevelopmentAndroidPHPiPhoneWebsite', 'Design']",5,"['Graphic Design', 'Web Development']","['Mobile', 'App', 'Development', 'Android', 'Pi', 'Phone', 'Website', 'Design']","[' Web', ' Applications', ' development', 'client', ' client', ' web', ' project', ' solutions', ' expertise', ' using', ' Projects', ' years', ' applications', ' mobile', ' clients', ' app', ' App', ' Work', ' Development', ' Mobile', ' business']"
20,Armenia,5.0,960,Asia,"['3D', 'Rendering3D', 'Modelling3D', 'Animation3ds', 'MaxInterior', 'Design']",5,['Graphic Design'],"['Rendering', 'Modelling', 'Animation', 'ds', 'Max', 'Interior', 'Design']","[' Web', ' clients', ' quality', ' projects', ' expertise', ' work', ' software', ' experience', 'years', ' design', ' let']"
35,Bangladesh,5.0,3618,Asia,"['Article', 'WritingContent', 'WritingCopywritingWebsite', 'DesignHTML']",5,"['Content Writing', 'Graphic Design', 'Web Development']","['Article', 'Writing', 'Content', 'Writing', 'Copywriting', 'Website', 'Design']","[' Web', 'content', ' content', ' quality', ' projects', ' services', ' Content', ' expertise', ' Design', ' experience', ' web']"
45,Pakistan,5.0,1719,Asia,"['Graphic', 'DesignPhotoshopIllustratorLogo', 'DesignPhotoshop', 'Design']",3,['Graphic Design'],"['Graphic', 'Design', 'Photoshop', 'Illustrator', 'Logo', 'Design', 'Photoshop', 'Design']","[' logo', ' clients', ' business', 'work', ' creating', ' designs', ' design', ' Expertise', ' professional']"
2,India,5.0,1837,Asia,"['SEOInternet', 'MarketingLink', 'BuildingMarketingSearch', 'Engine', 'Marketing']",5,['Other'],"['Internet', 'Marketing', 'Link', 'Building', 'Marketing', 'Search', 'Engine', 'Marketing']","[' experience', 'clients', ' GOOGLE', ' time', ' website', ' Website', ' years', ' Quality', ' Digital', ' clients', ' SEO', ' Business', ' help', ' Google', ' Professional', ' Social', ' Work', ' marketing', ' Marketing', ' Development', ' services', ' Skills']"
11,India,5.0,1255,Asia,"['SEOInternet', 'MarketingLink', 'BuildingMarketingSearch', 'Engine', 'Marketing']",5,['Other'],"['Internet', 'Marketing', 'Link', 'Building', 'Marketing', 'Search', 'Engine', 'Marketing']","[' quality', ' projects', ' experience', ' development', ' project', ' solutions', ' digital', ' website', ' years', ' clients', ' SEO', ' help', ' WordPress', ' Social', ' marketing', 'SEO', ' Let', ' Services', ' business']"
15,India,5.0,635,Asia,"['React', 'NativeGitMobile', 'App', 'DevelopmentJavaScriptReact.js']",5,['Programming'],"['React', 'Native', 'Git', 'Mobile', 'App', 'Development', 'Java', 'Script', 'React', 'js']","['developer', ' SEO', ' app', ' Data', ' WordPress', ' MARKETING', ' Client', ' website', ' experience', ' EXPERTISE', ' DIGITAL', ' years', ' React', ' Adobe', ' Work', ' mobile']"
50,Pakistan,5.0,488,Asia,"['Adobe', 'InDesignAfter', 'EffectsAngularJSApp', 'DesignArts &', 'Crafts']",4,['Graphic Design'],"['Adobe', 'In', 'Design', 'After', 'Effects', 'Angular', 'App', 'Design', 'Arts', 'Crafts']","[' Web', ' Solutions', ' Applications', ' Graphic', ' Experience', ' web', ' digital', ' Website', ' years', ' applications', ' SEO', 'business', ' Design', ' design', ' working', ' professional', ' Development', ' services', ' JS']"
45,United States,5.0,104,North America,"['GhostwritingCreative', 'WritingeBooksTechnical', 'WritingBook', 'Writing']",5,['Content Writing'],"['Ghostwriting', 'Creative', 'Writinge', 'Books', 'Technical', 'Writing', 'Book', 'Writing']","[' clients', ' content', ' solutions', ' quality', 'business', ' work', ' social', ' working', ' web', ' business']"
21,India,5.0,631,Asia,"['PHPWebsite', 'DesignMobile', 'App', 'DevelopmentHTMLAndroid']",5,"['Graphic Design', 'Web Development']","['Website', 'Design', 'Mobile', 'App', 'Development', 'Android']","[' projects', ' Custom', ' Data', ' Applications', ' experience', ' React', ' web', ' client', ' project', ' Software', ' solutions', ' time', ' Adobe', ' years', ' Quality', ' mobile', ' clients', ' help', ' Google', ' Design', ' software', ' App', ' Development', ' Time', ' Mobile', 'Years', ' business']"
50,India,5.0,93,Asia,"['PHPWebsite', 'DesignMySQLHTMLSoftware', 'Architecture']",3,"['Graphic Design', 'Programming', 'Web Development']","['Website', 'Design', 'My', 'Software', 'Architecture']","[' Web', ' Logo', ' Content', ' expertise', ' app', 'Web', ' Graphic', ' App', ' Website', ' Mobile', ' web']"
20,India,5.0,396,Asia,"['PHPMySQLHTMLJavaScriptWebsite', 'Design']",4,"['Programming', 'Graphic Design', 'Web Development']","['My', 'Java', 'Script', 'Website', 'Design']","[' Web', ' projects', ' Custom', ' experience', ' development', ' React', ' PHP', ' client', ' Logo', ' solutions', ' digital', ' work', ' Using', ' years', ' clients', ' app', ' help', ' WordPress', 'Web', ' Design', ' App', ' design', ' Management', ' professional', ' creating', ' services', ' JS', ' Mobile', ' business']"
25,India,5.0,810,Asia,"['Website', 'DesignGraphic', 'DesignHTMLCSSPHP']",5,"['Graphic Design', 'Web Development']","['Website', 'Design', 'Graphic', 'Design']","[' Web', ' Custom', ' DEVELOPMENT', ' Creating', ' web', ' WEBSITE', ' Logo', ' solutions', ' expertise', ' website', ' Website', ' app', ' Google', ' Design', ' design', ' Development', ' creating', ' Mobile', 'Years', ' WordPress']"
15,India,5.0,787,Asia,"['AndroidMobile', 'App', 'DevelopmentiPhoneiPadPHP']",5,['Other'],"['Android', 'Mobile', 'App', 'Developmenti', 'Phonei', 'Pad']","[' Web', ' quality', ' projects', ' Solutions', ' Data', ' development', ' React', ' client', 'mobile', ' Logo', ' business', ' digital', ' expertise', ' Clients', ' expert', ' time', ' Adobe', ' Digital', ' SEO', ' App', ' design', ' Work', ' Marketing', ' Development', ' Time', ' WordPress']"
25,India,5.0,949,Asia,"['Website', 'DesignPHPHTMLGraphic', 'DesignWordPress']",4,"['Graphic Design', 'Web Development']","['Website', 'Design', 'Graphic', 'Design', 'Word', 'Press']","[' quality', ' custom', ' development', ' PHP', ' client', ' solutions', ' data', ' expert', ' time', ' clients', 'professional', ' design', ' user', ' Marketing', ' Development', ' creating', ' services', ' Mobile', ' business']"
20,India,5.0,2093,Asia,"['PHPMobile', 'App', 'DevelopmentWebsite', 'DesigniPhoneAndroid']",5,['Web Development'],"['Mobile', 'App', 'Development', 'Website', 'Designi', 'Phone', 'Android']","[' Web', ' Solutions', ' Data', ' Custom', ' Experience', ' TIME', ' Years', 'Clients', ' development', ' React', ' web', ' project', ' Software', ' digital', ' expertise', ' Projects', ' using', ' Clients', ' work', ' expert', ' mobile', ' clients', ' help', ' software', ' Work', ' Development', ' Expertise', ' Services', ' Mobile', ' business']"
50,India,5.0,377,Asia,"['PHPWebsite', 'DesignSoftware', 'ArchitectureHTML.NET']",5,"['Graphic Design', 'Programming', 'Web Development']","['Website', 'Design', 'Software', 'Architecture']","[' Development', ' Software', ' quality', ' services', ' Data', ' Custom', ' Applications', ' Design', 'Development', ' Mobile']"
65,Pakistan,5.0,1272,Asia,"['Graphic', 'DesignPhotoshopIllustratorLogo', 'DesignBanner', 'Design']",5,['Graphic Design'],"['Graphic', 'Design', 'Photoshop', 'Illustrator', 'Logo', 'Design', 'Banner', 'Design']","['design', ' digital', ' help', ' graphic', ' design', ' business']"
25,India,5.0,2755,Asia,"['Graphic', 'DesignPhotoshopLogo', 'DesignPhotoshop', 'DesignPoster', 'Design']",5,['Graphic Design'],"['Graphic', 'Design', 'Photoshop', 'Logo', 'Design', 'Photoshop', 'Design', 'Poster', 'Design']","[' Logo', ' clients', 'Graphic', ' services', ' Business', ' Design', ' designs', ' Social']"
25,India,5.0,475,Asia,"['PHPHTMLWebsite', 'DesignWordPressGraphic', 'Design']",5,"['Graphic Design', 'Web Development']","['Website', 'Design', 'Word', 'Press', 'Graphic', 'Design']","['developer', ' app', ' skills', ' work', ' software', ' experience', ' design', ' years', ' working', ' applications', ' mobile']"
15,India,5.0,388,Asia,"['PHPMagentoHTMLeCommerceWebsite', 'Design']",4,"['Graphic Design', 'Web Development']","['Magento', 'Le', 'Commerce', 'Website', 'Design']","[' development', ' quality', ' Custom', ' Skills', 'Web', ' Developer', ' Experience', ' time', ' experience', ' years', ' marketing']"
50,Pakistan,5.0,342,Asia,"['Matlab and', 'MathematicaSoftware', 'ArchitectureMathematicsMicrocontroller']",5,['Programming'],"['Matlab', 'and', 'Mathematica', 'Software', 'Architecture', 'Mathematics', 'Microcontroller']","[' Software', ' services', ' expertise', ' app', ' Data', 'professional', ' data', ' using', ' software', ' experience', ' development', ' project']"
7,India,5.0,1253,Asia,"['SEOInternet', 'MarketingSearch', 'Engine', 'MarketingGoogle', 'Adwords']",5,['Other'],"['Internet', 'Marketing', 'Search', 'Engine', 'Marketing', 'Google', 'Adwords']","[' Web', ' skills', ' Experience', ' Years', ' experience', ' social', ' development', ' Expert', ' digital', ' expertise', ' time', ' Website', ' years', ' Digital', ' clients', ' SEO', ' WordPress', ' Google', ' Social', 'digital', ' Design', ' Work', ' working', ' marketing', ' professional', ' Marketing', ' creating', ' services', ' business']"
30,India,5.0,757,Asia,"['3D', 'ModellingCAD/CAMSolidworks3D', 'RenderingAutoCAD']",3,['Other'],"['Modelling', 'Solidworks', 'Rendering', 'Auto']","[' quality', ' services', ' Design', ' experience', 'services', ' years']"
15,Bangladesh,5.0,5062,Asia,"['PhotoshopGraphic', 'DesignPhoto', 'EditingIllustratorPhotoshop', 'Design']",3,['Graphic Design'],"['Photoshop', 'Graphic', 'Design', 'Photo', 'Editing', 'Illustrator', 'Photoshop', 'Design']","['Graphic', ' services', ' Business', ' work', ' Design', ' experience', ' design', ' years', ' Creating', ' web']"
12,India,5.0,352,Asia,"['3D', 'Modelling3D', 'Rendering3D', 'Animation3ds', 'MaxMaya']",4,['Other'],"['Modelling', 'Rendering', 'Animation', 'ds', 'Max', 'Maya']","[' quality', ' projects', ' work', ' time', ' experience', 'years', ' professional']"
50,Pakistan,5.0,285,Asia,"['Software', 'ArchitectureMobile', 'App', 'DevelopmentJavaScriptC#', 'Programming']",5,['Programming'],"['Software', 'Architecture', 'Mobile', 'App', 'Development', 'Java', 'Script', 'Programming']","[' Web', ' PHP', ' React', ' Mobile', 'expertise']"
25,India,5.0,456,Asia,"['PHPHTMLWebsite', 'DesignMySQLSoftware', 'Architecture']",5,"['Graphic Design', 'Programming', 'Web Development']","['Website', 'Design', 'My', 'Software', 'Architecture']","[' clients', ' solutions', ' expertise', ' creating', ' digital', ' work', ' years', ' Services', 'software', ' website', ' custom', ' Website', ' development', ' time', ' Mobile', ' applications', ' business', ' project']"
50,Pakistan,5.0,347,Asia,"['PHPWebsite', 'DesignMySQLHTMLMobile', 'App', 'Development']",5,"['Graphic Design', 'Web Development']","['Website', 'Design', 'My', 'Mobile', 'App', 'Development']","[' Web', ' projects', 'experience', ' experience', ' web', ' solutions', ' expertise', ' using', ' designs', ' years', ' Mobile', ' applications', ' mobile', ' app', ' Google', ' Design', ' App', ' working', ' user', ' Expertise', ' business']"
20,United Kingdom,5.0,116,Europe,"['3D', 'AnimationAnimation3D', 'Modelling3D', 'RenderingVideo', 'Services']",5,['Other'],"['Animation', 'Animation', 'Modelling', 'Rendering', 'Video', 'Services']","[' solutions', ' services', 'digital', ' design', ' development']"
40,Turkey,5.0,192,Asia,"['3D', 'Modelling3D', 'Animation3D', 'RenderingAfter', 'Effects3D', 'Design']",4,['Graphic Design'],"['Modelling', 'Animation', 'Rendering', 'After', 'Effects', 'Design']","[' quality', ' creating', ' skills', ' experience', 'years', ' professional', ' project']"
10,India,5.0,1112,Asia,"['SEOInternet', 'MarketingLink', 'BuildingMarketingSearch', 'Engine', 'Marketing']",4,['Other'],"['Internet', 'Marketing', 'Link', 'Building', 'Marketing', 'Search', 'Engine', 'Marketing']","['SEO', ' clients', ' SEO', ' quality', ' High', ' Google', ' Social', ' Marketing', ' development', ' Content', ' professional']"
46,India,5.0,503,Asia,"['PHPHTMLMySQLGraphic', 'DesignAmazon', 'Web', 'Services']",4,"['Graphic Design', 'Web Development']","['My', 'Graphic', 'Design', 'Amazon', 'Web', 'Services']","[' Web', ' Design', ' Graphic', ' Services', 'Mobile', ' PHP']"
10,India,5.0,981,Asia,"['SEOInternet', 'MarketingWebsite', 'DesignContent', 'WritingArticle', 'Writing']",5,"['Content Writing', 'Graphic Design', 'Web Development']","['Internet', 'Marketing', 'Website', 'Design', 'Content', 'Writing', 'Article', 'Writing']","[' management', ' Development', ' SEO', ' content', ' solutions', ' applications', ' Google', 'Digital', ' expert', ' Social', ' PHP', ' experience', ' Website', ' Management', ' marketing', ' user', ' web', ' WordPress']"
65,India,5.0,118,Asia,"['PHPHTMLWebsite', 'DesignMySQLSQL']",3,"['Graphic Design', 'Web Development']","['Website', 'Design', 'My']","['web', ' help', ' skills', ' Let', ' let', ' client', ' project']"
30,Canada,5.0,232,North America,"['Website', 'DesignHTMLPHPGraphic', 'DesignWordPress']",5,"['Graphic Design', 'Web Development']","['Website', 'Design', 'Graphic', 'Design', 'Word', 'Press']","[' Web', ' Development', ' High', ' Content', ' User', ' Applications', ' Design', ' experience', 'years', ' App', ' Management', ' Mobile', ' web', ' mobile', ' project']"
20,United States,5.0,261,North America,"['Content', 'WritingEditingArticle', 'WritingProofreadingGhostwriting']",3,['Content Writing'],"['Content', 'Writing', 'Editing', 'Article', 'Writing', 'Proofreading', 'Ghostwriting']","[' Digital', ' management', ' clients', ' content', ' SEO', ' expertise', ' creating', ' digital', 'professional', ' experience', ' social', ' marketing', ' Marketing', ' project']"
20,India,5.0,699,Asia,"['HTMLPHPWebsite', 'DesignWordPressGraphic', 'Design']",5,"['Graphic Design', 'Web Development']","['Website', 'Design', 'Word', 'Press', 'Graphic', 'Design']","[' Web', ' Solutions', ' Experience', ' Graphic', ' Years', ' PHP', ' business', ' digital', ' Projects', ' work', ' website', ' Website', ' graphic', 'Web', ' Design', ' marketing', ' Development', ' Services', ' WordPress']"
30,Bangladesh,5.0,3521,Asia,"['TranslationEnglish (US)', 'TranslatorSpanish', 'TranslatorFrench', 'Translator']",5,['Translation'],"['Translation', 'English', 'Translator', 'Spanish', 'Translator', 'French', 'Translator']","[' clients', ' quality', ' services', ' website', 'years', ' business']"
45,India,5.0,2123,Asia,"['Graphic', 'DesignLogo', 'DesignPhotoshopIllustratorIllustration']",5,['Graphic Design'],"['Graphic', 'Design', 'Logo', 'Design', 'Photoshop', 'Illustrator', 'Illustration']","[' Web', ' Logo', ' Business', ' graphic', ' Design', ' experience', ' design', ' years', 'graphic', ' web', ' WordPress', ' Expert']"
50,Pakistan,5.0,858,Asia,"['PHPHTMLWebsite', 'DesignWordPressGraphic', 'Design']",5,"['Graphic Design', 'Web Development']","['Website', 'Design', 'Word', 'Press', 'Graphic', 'Design']","[' Web', ' Development', 'Professional', ' developer', ' SEO', ' content', ' Business', ' skills', ' Experience', ' Graphic', ' software', ' experience', ' time', ' Marketing']"
25,Bangladesh,5.0,201,Asia,"['PHPHTMLMySQLWebsite', 'DesignLaravel']",3,"['Graphic Design', 'Web Development']","['My', 'Website', 'Design', 'Laravel']","[' Web', ' Development', ' Software', ' clients', ' services', ' projects', ' help', ' WordPress', ' work', ' Design', ' time', 'software', ' App', ' React', ' Management', ' Mobile', ' business']"
25,India,5.0,961,Asia,"['PHPMySQLWebsite', 'DesignJavaSoftware', 'Architecture']",5,"['Graphic Design', 'Programming', 'Web Development']","['My', 'Website', 'Design', 'Java', 'Software', 'Architecture']","[' services', ' expertise', ' projects', ' Data', ' work', ' professional', 'Web', ' client', ' PHP', ' web', ' WordPress', ' project']"
20,India,5.0,446,Asia,"['PHPMobile', 'App', 'DevelopmentHTMLWebsite', 'DesignAndroid']",5,"['Graphic Design', 'Web Development']","['Mobile', 'App', 'Development', 'Website', 'Design', 'Android']","[' Web', ' developer', ' DESIGN', ' skills', ' DEVELOPMENT', ' Experience', ' Years', ' development', ' React', ' PHP', ' WEBSITE', 'mobile', ' Logo', ' expertise', ' User', ' Website', ' Mobile', ' applications', ' app', ' Google', ' Developer', ' Design', ' Social', ' App', ' Management', ' Development', ' creating', ' Expertise', ' MOBILE', ' APP', ' Project', ' WordPress']"
20,India,5.0,6726,Asia,"['Graphic', 'DesignLogo', 'DesignPhotoshopIllustratorWebsite', 'Design']",5,"['Graphic Design', 'Web Development']","['Graphic', 'Design', 'Logo', 'Design', 'Photoshop', 'Illustrator', 'Website', 'Design']","[' Logo', ' Development', ' quality', 'Logo', ' graphic', ' Design', ' time', ' experience', ' Website', ' years', ' designer', ' WordPress']"
15,India,5.0,1765,Asia,"['SEOInternet', 'MarketingLink', 'BuildingMarketingSearch', 'Engine', 'Marketing']",5,['Other'],"['Internet', 'Marketing', 'Link', 'Building', 'Marketing', 'Search', 'Engine', 'Marketing']","[' skills', ' Experience', ' experience', ' custom', ' development', ' Expert', ' project', ' business', ' digital', ' expertise', ' solutions', ' work', ' website', ' Adobe', ' years', ' Digital', ' clients', ' SEO', 'professional', ' help', ' graphic', ' Google', ' design', ' marketing', ' management', ' creating', ' Expertise', ' Content', ' WordPress']"
20,India,5.0,1093,Asia,"['Graphic', 'DesignPhotoshopIllustratorLogo', 'DesignIllustration']",5,['Graphic Design'],"['Graphic', 'Design', 'Photoshop', 'Illustrator', 'Logo', 'Design', 'Illustration']","[' Digital', ' Logo', ' creating', ' expertise', ' Business', ' graphic', ' designs', ' design', ' custom', 'graphic', ' designer']"
65,Greece,5.0,191,Europe,"['ExcelData', 'ProcessingSQLData', 'EntryVisual', 'Basic']",4,['Finance'],"['Excel', 'Data', 'Processing', 'Data', 'Entry', 'Visual', 'Basic']","[' quality', ' projects', ' Data', ' data', ' work', ' experience', 'years']"
15,Philippines,5.0,134,Asia,"['Data', 'EntryCustomer', 'SupportCustomer', 'ServiceData', 'Processing']",3,['Other'],"['Data', 'Entry', 'Customer', 'Support', 'Customer', 'Service', 'Data', 'Processing']","[' Web', ' solutions', ' Business', ' Data', ' skills', ' work', ' Google', ' Management', 'working', ' experience', ' Creating', ' Project']"
20,Bangladesh,5.0,2588,Asia,"['PhotoshopGraphic', 'DesignPhotoshop', 'DesignPhoto', 'EditingIllustrator']",3,['Graphic Design'],"['Photoshop', 'Graphic', 'Design', 'Photoshop', 'Design', 'Photo', 'Editing', 'Illustrator']","[' Logo', ' clients', ' quality', ' Business', ' help', 'project', ' Professional', ' high', ' Design', ' Graphic', ' time', ' experience', ' years', ' project', ' Expert']"
