Name,Title,Location,Profile Link,Rating,Price,Degree
Dr. Jesper H.,"Scientific Researcher and Statistician with a PhD Neuroscience, I help others make sense of their data",United States,,★★★★★,USD 100/hr,Doctor of Science - Epidemiology
Dr. Devan H.,Epidemiologist,United States,,★★★★★,USD 100/hr,Doctor of Science - Epidemiology
Dr. Anuj M.,Tutor and editor specializing in (Molecular) Biology and (Molecular) Genetics,United States,,★★★★★,N/A,Doctor of Science - Epidemiology
Dr. Pierre-François R.,"Ph.D in Genetics & Bioinformatics, studying the interplay between metabolism and the epigenome in senescence and aging.",France,,★★★★★,USD 30/hr,Doctor of Science - Epidemiology
Dr. Michael J.,"Dr. James is a PhD scientist offering medical science and bioscience consulting, writing, editing and review services.",United States,,★★★★★,N/A,Doctor of Science - Epidemiology
Dr. Dilza T.,"Proteomics expert, PhD in Cell and Molecular Biology: project planning, data analysis, results interpretation.",Brazil,,★★★★★,USD 50/hr,Doctor of Science - Epidemiology
Dr. Nischal M.,Experienced Medical Communications Professional and Healthcare specialist,India,,★★★★★,USD 50/hr,Doctor of Science - Epidemiology
Dr. Adrià G.,Medical writer / Scientific writer,Spain,,★★★★★,USD 35/hr,N/A
Dr. Sean M.,"Experimental design and statistical modelling expert | Fluent in R, Matlab, SPSS | https://intercept-analytics.com/",Canada,,★★★★★,USD 105/hr,N/A
Dr. Lauren U.,"Bioinformatics Scientist with 10 years of experience in Bioinformatics, NGS, and Data Science.",United States,,,USD 25/hr,N/A
Dr. Adolfo C.,Spacecraft estimation and control expert. Control systems engineering lecturer at university level.,Costa Rica,,,USD 50/hr,N/A
Dr. Syeda Areeba R.,Oral & Maxillofacial Pathologist & Data Analyst. Medical writer with 5+ years of experience in clinical research.,Pakistan,,★★★★★,USD 15/hr,N/A
Dr. Muhammad Asad I.,Engineer | Machine Learning Specialist | Medical Writer | Data Analyst,Pakistan,,★★★★★,USD 50/hr,N/A
Dr. Barbara B.,"Freelance Scientific writer, medical researcher and data analyst |Expert in SAS",Botswana,,★★★★★,USD 35/hr,N/A
Dr. Mehdi G.,Mathematician & Data Scientist | Expert in Python,Canada,,★★★★★,USD 50/hr,N/A
Dr. Tory P.,"Dietary Supplement and Personal Care formulation, concept design, and product development",United States,,★★★★★,USD 225/hr,N/A
Dr. Biswadeep D.,"Freelancer (Pro) at Kolabtree; Expertise in assay development, CRO, PM, biological evaluation",India,,★★★★★,USD 49/hr,N/A
Dr. Francesc Xavier R.,Structural biologist & enzymologist — 15+ years experience,United States,,★★★★★,USD 100/hr,N/A
Dr. Subbaiah C.,Plant biologist with interdisciplinary expertise and 20+ years experience in industry and academia,United States,,★★★★★,USD 40/hr,N/A
Dr. Tobias S.,PhD Chemist / Expert Knowledge in Synthetic Chemistry / Knowledge in Formulation Chemistry and Medicine,Bulgaria,,★★★★★,USD 65/hr,N/A
Dr. Umair I.,"Latex Expert, Computer Vision Enthusiast",Australia,,★★★★★,USD 75/hr,N/A
Dr. Luigi C.,"Freelance Bioinformatician, Biostatician, Academic Scientific Writer",Italy,,★★★★★,USD 50/hr,N/A
Dr. Snigdha M.,Consultant Periodontist with 10 years of experience and Medical contents writer with 1 year of experience,India,,★★★★★,N/A,N/A
Dr. Katie A.,Mixed-methods research/evaluation in social science/education disciplines,United States,,★★★★★,USD 75/hr,N/A
Dr. Drew S.,Ecologist; Biostatistician; R Expert,United States,,★★★★★,USD 125/hr,N/A
Dr. Anna A.,Scientific writer and neuroscientist with 10+ years of experience in research with a passion for writing.,Netherlands,,★★★★★,USD 50/hr,N/A
Dr. Lhoussain S.,"Freelance Proofreader, Editor, writer and Translator: Travelling through Words",Morocco,,★★★★★,USD 65/hr,N/A
Dr. Jacob V.,"Physician and Medical Scientist | Expert in Biomedical Informatics, Biostatistics, & Public Health",United States,,★★★★★,USD 125/hr,N/A
Dr. VITO CARLO ALBERTO C.,Biomarkers - prognostic - IHC - Systematic review and meta-analysis - SPSS - Scientific articles in medicine-dentistry.,Italy,,★★★★★,N/A,N/A
Dr. Ralitsa P.,Professional Biomedical Scientist,United States,,★★★★★,USD 100/hr,N/A
Dr. Deon V.,hdhd,South Africa,,★★★★★,USD 50/hr,N/A
Dr. Sanjay M.,A clinical and biomedical scientist with 10+ years of scientific writing,New Zealand,,★★★★★,USD 70/hr,N/A
Dr. Elena V.,"Experienced Research Scientist with expertise in the Health Sciences, including Nutrition, Neuroscience and Genomics.",United States,,★★★★★,USD 250/hr,N/A
Dr. Ilias A.,"Scientist with 9 years of R&D experience in materials science and engineering, nanotechnology, and scientific writing",United Arab Emirates,,★★★★★,USD 60/hr,N/A
Dr. Monica F.,Medical Writer | Science Communicator,Argentina,,★★★★★,USD 100/hr,N/A
Dr. Paranjayee M.,"Expertise in Coatings, Tribology, Metal forming, Materials. Scientific writer with 5 years of experience.",United Kingdom,,★★★★★,USD 60/hr,N/A
Dr. Ragothaman Y.,Computational Biologist,India,,★★★★★,USD 30/hr,N/A
Dr. Ahram Q.,"Expert Life Science's Researcher, writer, and Consultant",Qatar,,★★★★★,USD 50/hr,N/A
Dr. Lindy W.,Science writer | Scicomm | Researcher | Passionate about climate change,India,,★★★★★,USD 50/hr,N/A
Dr. Dikshat Gopal G.,"7+ years of experience in Hematology, Oncology, Medicine clinical/basic Research",India,,★★★★★,USD 50/hr,N/A
Dr. Caitlyn T.,Medical & Health Writer | Clinical Product Development | Digital Health | FemTech | Copyediting,United States,,★★★★★,USD 150/hr,N/A
Dr. Ahmed E.,Freelance Medical Writer and Biostatistician with 5+ years of experience in clinical research,United Kingdom,,★★★★★,USD 70/hr,N/A
Dr. Jak G.,PhD Biophysicist | Expert in Advanced Microscopy & Receptor Biology | Commercial instrumentation selling,United Kingdom,,★★★★★,N/A,N/A
Dr. Matthew C.,Freelance statistician/data analyst,United States,,★★★★★,USD 120/hr,N/A
Dr. Christy G.,Freelance Plant Geneticist and Data Scientist | 14+ years of experience in plant genomics,United States,,★★★★★,USD 150/hr,N/A
Dr. Dibato J.,"Biostatistician with 9+ years of experience in clinical research - SAS, R, Python, STATA, SPSS, WinBUGS, Linux and HPC",Australia,,★★★★★,USD 100/hr,N/A
Dr. Carolina V.,"Scientist with 20 years of R&D experience in chemistry, pharmacology, food technology, CPG, and cannabis industry.",United States,,★★★★★,USD 500/hr,N/A
Dr. Anna P.,"MD PhD, clinical research associate, neuronerd, climber.",United Kingdom,,★★★★★,USD 90/hr,N/A
Dr. Arnulfo S.,Expert Computer Science Freelancer| Machine Learning|,United States,,★★★★★,USD 50/hr,N/A
Dr. Jennifer H.,"Scientific Consultant | Expertise in biochemistry, molecular and structural biology",Canada,,★★★★★,USD 145/hr,N/A
Dr. Ravi D.,N/A,United States,,★★★★★,N/A,N/A
Dr. Suzan D.,Interdisciplinary Social Scientist | Research Consultant | Academic Writer,Netherlands,,★★★★★,USD 98/hr,N/A
Dr. Mohamed A.,Expert Medical Researcher and Scientific Writer,Egypt,,★★★★★,USD 20/hr,N/A
Dr. Liliana G.,Clinical Researcher | Health Tech | Expertise in Psychology and Neuroscience,Mexico,,★★★★★,USD 40/hr,N/A
Dr. Brice L.,"Freelance Researcher, Science Writer and Editor| PhD in life science",Benin,,★★★★★,USD 50/hr,N/A
Dr. Zsolt Gabor V.,Cell and Developmental Biology - Scientific Writer and Data Analyst,Hungary,,★★★★★,USD 45/hr,N/A
Dr. Abdullah F.,"Freelance Medical Researcher & Instructor | Expert in SPSS & RevMan, Medical writing, and International Publication",Egypt,,★★★★★,USD 50/hr,N/A
Dr. Selen A.,"neuroscientist with expertise in consciousness, meditation, psychedelic states and psychiatric disorders",Turkey,,★★★★★,USD 200/hr,N/A
Dr. Heba E.,"Social sciences researcher with 15 years experience in managing projects, securing funding and publishing",United Kingdom,,★★★★★,N/A,N/A
Dr. Christopher L.,"Building Machine Learning Models for Medical Research | Expert in Python, Medical Doctor",United Kingdom,,★★★★★,USD 80/hr,N/A
Dr. Darin R.,"Astrophysicist, Computational Data Analyst, Problem Solver",United States,,★★★★★,USD 150/hr,N/A
Dr. Sukant K.,"Professor, Entrepreneur in Neuroscience, AI, Data science, Diabetes, Drug Discovery, Formulations, and Phyto Domains",India,,★★★★★,USD 100/hr,N/A
Dr. Jennifer W.,"Global public health researcher, focused on violence, alcohol and HIV prevention, social justice and health disparities",United States,,★★★★★,USD 100/hr,N/A
Dr. Indu J.,"Freelancer with 20 + years of experience in biodiversity, nutrition and health. Scientific writer",Malaysia,,★★★★★,USD 50/hr,N/A
Dr. Priya S.,Freelance Research Coach | Expert in SPSS & GCP | Academic Writer with 10+ years in Medical research,United Kingdom,,★★★★★,USD 12/hr,N/A
Dr. Julia J.,PhD in Biochemistry and Medical Writer with 20+ years of experience,United Kingdom,,★★★★★,USD 80/hr,N/A
Dr. Kyongsik Y.,Machine learning technologist & data scientist previously co-founder of two medical device & signal processing companies,United States,,★★★★★,USD 120/hr,N/A
Dr. Stephen W.,Medical Device Expert | 30 year practicing surgeon with 4 years at FDA and 2 years medical device consulting,United States,,★★★★★,USD 350/hr,N/A
Dr. Muthulakshmi M.,"Expert in R, statistical and genomic data analysis",India,,★★★★★,USD 30/hr,N/A
Dr. Nicolini B.,"Beatrice Nicolini Ph.D., University Full Professor: Africa, Islam, Indian Ocean, Asia, Terrorism and Security Issues",Italy,,★★★★★,USD 350/hr,N/A
Dr. Numan H.,"Postdoctoral Researcher at EMBL Partnership Institute for Genome Editing Technologies, Life Sciences Center, Vilnius Uni",China,,★★★★★,USD 150/hr,N/A
Dr. Ishfaq Ahmad M.,"Mathematician and Statistician | Expert in Pure Maths, Advance Maths, Probability-Statistics, Data Science",India,,★★★★★,USD 20/hr,N/A
Dr. Eugene S.,"Experienced Medical Writer, Manuscript Writer, Academic Writer, Creative Writer, and Data and Statistical Analyst.",Kenya,,★★★★★,USD 40/hr,N/A
Dr. Jackie S.,"Experienced Ecologist, Wildlife Management and Natural Resource Resilience Consultant",United Kingdom,,★★★★★,USD 75/hr,N/A
Dr. Morgana M.,Freelance Medical and Science Writer | Expert in neuroscience and pharmacology,Brazil,,★★★★★,USD 100/hr,N/A
Dr. Ryan M.,"Molecular Biology, Immunology, and Oncology Research Expert with Extensive Science Writing and Editing Experience",United States,,★★★★★,USD 75/hr,N/A
Dr. Tomoe G.,Scientific consultant with an interdisciplinary background,Brazil,,★★★★★,USD 50/hr,N/A
Dr. Shyam Nikethen G.,"Medical writer with expertise in producing Regulatory compliant CSR, protocols and SAE reports and Summaries",India,,★★★★★,USD 10/hr,N/A
Dr. Ashwini P.,"Experienced Researcher skilled in Paper writing, Scientific Editing, Proofreading and Paraphrasing",India,,★★★★★,USD 10/hr,N/A
Dr. Ahmed O.,Ph.D Inorganic and Analytical Chemistry,Egypt,,★★★★★,USD 50/hr,N/A
Dr. Jeremy H.,PROFESSIONAL WRITING SERVICES - Academic and Technical - even Provisional Patent Applications,Mexico,,★★★★★,USD 35/hr,N/A
Dr. Mariya P.,Freelance consultant with 10+ years science experience| Expert human microbiota & probiotics | Scientific writer,Netherlands,,★★★★★,USD 70/hr,N/A
Dr. Eugenia O.,"Design Engineer with Expertise in Medical Device Safety & Ergonomics, Face Masks / Respiratory Protection Design",United States,,★★★★★,USD 75/hr,N/A
Dr. Milica C.,Neuroscientist with medical writing experience,Italy,,★★★★★,USD 40/hr,N/A
Dr. Sergio R.,N/A,Colombia,,★★★★★,N/A,N/A
Dr. Marija D.,"PhD in Molecular Biology, Genetic counselor, with 10+ years of experience in cancer research",Serbia,,★★★★★,USD 25/hr,N/A
Dr. Ahmed T.,"Director of Clinical Research, Marchand Institute, Arizona, USA.",United States,,★★★★★,USD 50/hr,N/A
Dr. Angelica K.,Philosopher,Italy,,★★★★★,USD 60/hr,N/A
Dr. Martina R.,PhD-Qualified Freelance Medical and Scientific Writer | Expert in Cell and Molecular Biology and Gene Therapy,France,,★★★★★,USD 50/hr,N/A
Dr. Malik Muhammad F.,Academic Researcher | Curriculum Developer | Creative Writer | Proofreader and Editor | Educator,Pakistan,,★★★★★,USD 32/hr,N/A
Dr. Michaela D.,Market Analysis & Scientific Consulting | Stem Cell Expert | 10 years of experience in academia and industry,France,,★★★★★,USD 70/hr,N/A
Dr. Christina T.,"Astronomer/physicist with 15+ years in research, speaks 10 languages",Spain,,★★★★★,USD 50/hr,N/A
Dr. Mayssoon D.,"Medical Education expert, Clinical researcher, Academic writer with 20+ years of experience in higher education issues",Netherlands,,★★★★★,USD 55/hr,N/A
Dr. Hugo P.,Physician and Medical Writer,Portugal,,★★★★★,USD 35/hr,N/A
Dr. Ahmad A.,"Statistician & Data Analyst | Expert in SPSS, R, Python",Kuwait,,★★★★★,USD 200/hr,N/A
Dr. Mohammed A.,"I am Dr Mohammed ajebli, I am a PhD. I will write articles, chapters and books for you, I will also translate your docs.",Morocco,,★★★★★,USD 10/hr,N/A
Dr. Sathish D.,"Formulation Scientist in Pharmaceuticals, Nutraceuticals, Food, Veterinary, and Cosmetic products",India,,★★★★★,USD 50/hr,N/A
Dr. Liane Siu S.,"PhD in Chemistry | Writer | Editor | Consultant | Coach | Subjects: Nanotechnology, Biotechnology, Diversity & Inclusion",Hong Kong,,★★★★★,USD 120/hr,N/A
Dr. Ángel V. J.,"Expert in experimental psychology, survey design, and data analysis with R, SPSS and Stata",United Kingdom,,★★★★★,USD 60/hr,N/A
Dr. Jennifer H.,"PhD, ATC | Medical Writer and Athletic Trainer | Orthopedics and Sports Medicine",United States,,★★★★★,USD 120/hr,N/A
Dr. Marcel B.,PhD Chemical Engineer writing scientific articles for over 10 years.,Turkey,,★★★★★,USD 30/hr,N/A
Dr. Mathu M.,Experienced Bioinformatics Specialist with Expertise in Genomic Data Analysis and Workflow Automation,Canada,,★★★★★,USD 150/hr,N/A
Dr. Nermeen T.,Diploma in Cosmetic Formulation | 40+ Successfully Launched Products,Egypt,,★★★★★,USD 50/hr,N/A
Dr. Ana C.,Medical and scientific writer / Nutrition and Lifestyle Coach / Neuroscientist,Switzerland,,★★★★★,USD 80/hr,N/A
Dr. Gonzalo A. G.,Expert in Data and Signal Processing | PhD. in Biomedical Engineering from Osaka University. M.Sc. in Computer Science.,Spain,,★★★★★,N/A,N/A
Dr. Kurtulus G.,"Expert with 10+ Years of Experience in Medical, Scientific, Technical and Regulatory Writing",United States,,★★★★★,USD 100/hr,N/A
Dr. Rachel M.,Life Sciences Researcher with 80+ projects delivered for Fortune 500 clients.,Thailand,,★★★★★,USD 300/hr,N/A
Dr. Laurie A.,Scientist in Neuro-immunology- Scientific Writing -Creating scientific content- Data analysis,France,,★★★★★,USD 200/hr,N/A
Dr. Mindy L.,N/A,United States,,★★★★★,USD 100/hr,N/A
Dr. Isis R.,PhD in Genetics | Omics Integration | Immune and Infectious Disease Research | Freelance Scientific Writer,Mexico,,★★★★★,USD 65/hr,N/A
Dr. Caio B.,"Chemist with experience in nanotechnology, microbiology, biochemistry and organic chemistry",Ireland,,★★★★★,N/A,N/A
Dr. Sergey K.,"Translational Computational Biologist | Bridging Multi-Omic, Biostatistics, & Clinical Applications | Machine Learning",United States,,★★★★★,USD 75/hr,N/A
Dr. Akanksha B.,Biotechn scientist with 8+ yrs of experience in molecular & cellular biology | Expert in data analysis and presentation,Canada,,★★★★★,USD 35/hr,N/A
Dr. Oscar M.,"Associate professor with interests in scientific research, zoonoses, food safety, animal health and welfare",Namibia,,★★★★★,USD 15/hr,N/A
Dr. Maria M.,Research scientist with 10+ years experience in the life sciences,Switzerland,,★★★★★,USD 200/hr,N/A
Dr. Rishard Z.,Chemist with nearly 15 years experience in teaching and research,New Zealand,,★★★★★,USD 40/hr,N/A
Dr. IFRAH U.,"Food Scientist & technologist, Content writer, Innovative food product developer",Pakistan,,★★★★★,USD 20/hr,N/A
Dr. Sonja S.,"Editor and Experienced Researcher in the Arts and Humanities (Performance, Film, Philosophy, Literature, Culture)",South Africa,,★★★★★,USD 60/hr,N/A
Kristine R.,Formulation Chemist and Biomedical Researcher,United States,,★★★★★,USD 100/hr,N/A
Dr. Aprajita D.,Licensed Medical professional | Scopus Indexed | Systemic Review | Meta Analysis | Ghost Writing | Research,India,,★★★★★,USD 35/hr,N/A
Dr. TARIQ M.,Expert Formulation Scientist with Over 10 Years of Pioneering Experience in Cosmetics and Skincare,Pakistan,,★★★★★,USD 75/hr,N/A
Dr. Zsolt M.,"R&D Scientist, Technical Team Leader, Scientific Writer | PVD Thin Film Technology Engineer | Systems/Test Engineering",Thailand,,★★★★★,USD 30/hr,N/A
Dr. Thomas R.,Experienced Science Consultant and Writer,Georgia,,★★★★★,USD 100/hr,N/A
Dr. Matthew P.,"Experienced formulation and CMC consulting in pharmaceuticals, biomaterials, and related. 10+ years experience.",United States,,★★★★★,USD 100/hr,N/A
Dr. Dr. Abdul-Sattar N.,Senior Editor for Renewable & Sustainable Energy Reviews (Elsevier – Impact Factor 15.9),Pakistan,,★★★★★,USD 100/hr,N/A
Dr. Bwalya Angel W.,"Pharmacist with a PhD in Pharmaceutics with work experience in formulation development, scientific and medical writing",South Africa,,★★★★★,USD 30/hr,N/A
Dr. Nelson K.,Medical Writer with 10+ years of experience,Kenya,,★★★★★,USD 20/hr,N/A
Dr. Matthew G.,Healthcare & Biological Sciences | Consultant | Writer | Editor |,Australia,,★★★★★,USD 45/hr,N/A
Dr. Barbara L.,Expert in Animal Reproduction and Molecular Biology. Statistician & Data Analysis.,Brazil,,★★★★★,USD 50/hr,N/A
Dr. Leslie P.,"Epidemiologist with Experience in Qualitative/Quantitive Research, Generative AI, LLMS, & COVID-19 Outbreak Response",United States,,★★★★★,USD 150/hr,N/A
Dr. Benan D.,Cognitive Scientist: Expert in human behavior & emotions,Italy,,★★★★★,USD 85/hr,N/A
Dr. Amit S.,"Academician, Researcher and Consultant",India,,★★★★★,USD 100/hr,N/A
Dr. Matthew S.,"Freelance Data Analyst & Economist | Expert in R, Stata & Matlab",United States,,★★★★★,USD 40/hr,N/A
Dr. John O.,"MD PhD | London, Cambridge, Stanford | Scientist, board-certified doctor (Gastroenterologist), Editor.",United Kingdom,,★★★★★,USD 200/hr,N/A
Dr. Victoria N.,"PhD, Senior Economist, Statistician, Econometrician, Quantitative Researcher and Data Scientist. Expert in STATA/SAS/R",United States,,★★★★★,USD 60/hr,N/A
Dr. Cidila D.,"International Research Consultant Specializing in Data & AI, Machine Learning & Research",United Kingdom,,★★★★★,USD 50/hr,N/A
Dr. Nikhil K.,PhD in Herbal Chemistry and have 8 years of experience as an expert in Herbal Product Formulation.,India,,★★★★★,USD 80/hr,N/A
Dr. Shalini M.,"Freelance scientific writer with 5 years of experience. A PhD in Plant Science, I have a natural interest for writing.",India,,★★★★★,USD 60/hr,N/A
Dr. Aakash A.,Computational Neuroscientist | AI Researcher (vision) | Science Communication,India,,★★★★★,USD 100/hr,N/A
Dr. Aman U.,Freelance Molecular biologist and formulation chemist. I have 3+ years of experience in technical scientific writing.,Qatar,,★★★★★,USD 50/hr,N/A
Dr. MUHAMMAD O.,"Nanotechnology, Biotechnology, Clinical Medicine, Infectious diseases, Immunology, Medicinal Plants, Medical Devices",Pakistan,,★★★★★,USD 90/hr,N/A
Dr. Johannes G.,"Plasma physicist, Editor-in-chief of the Journal of Technological and Space Plasmas",Austria,,★★★★★,USD 100/hr,N/A
Dr. Andrei R.,Machine Learning and Computer Vision Freelancer,Ireland,,★★★★★,USD 100/hr,N/A
Dr. Samit W.,Data Science | AI | Machine Learning | Neural Networks |Statistics | NGS | Molecular Biology | Bioinformatics |,United States,,★★★★★,USD 100/hr,N/A
Dr. Prabir K.,"Research Scientist with 10+ years of experience in Life science, Biotechnology and Interdisciplinary science",Portugal,,★★★★★,USD 60/hr,N/A
Dr. Juliana O.,Hello! My name is Dr Juliana and I am a medical and scientific writer.,Brazil,,★★★★★,USD 20/hr,N/A
Dr. Arianne S.,Liquid Chromatography Specialist | Consultant | Founder of www.hplcsupport.com,Uruguay,,★★★★★,USD 60/hr,N/A
Dr. Vinícius T.,Academic Researcher and Writer,Brazil,,★★★★★,USD 40/hr,N/A
Dr. Dejan V.,"Highly skilled professional in chemistry, material science, nanotechnology, sustainability and project management.",Slovenia,,★★★★★,USD 50/hr,N/A
Dr. Jacob S.,"Materials Scientist with 15 years of research experience and a focus in electrochemistry, spectroscopy, and synthesis.",United States,,★★★★★,USD 35/hr,N/A
Dr. Pedro Antonio R.,N/A,Switzerland,,★★★★★,N/A,N/A
Dr. Jonathan W.,Biologist BSc MSc PhD,United Kingdom,,★★★★★,USD 80/hr,N/A
Dr. George M.,Clinical Researcher | Market Analyst | Medical Writer with Expertise in Clinical Medicine and Healthcare Communication,Kenya,,★★★★★,USD 30/hr,N/A
Dr. Priyanka G.,"PhD Health Sciences | Researcher Genetics, Epigenetics, Molecular biology",India,,★★★★★,USD 50/hr,N/A
Dr. Nayadoleni N.,"MD, PhD in Neurosciences | Postdoctoral researcher - Neuroimmunology | Medical and scientific content writer |",France,,★★★★★,USD 40/hr,N/A
Dr. Muhammad Usman Y.,"Scientific Researcher with a PhD in Computer Science. Expertise in development,writing and publishing scientific papers.",Pakistan,,★★★★★,USD 20/hr,N/A
Dr. Luisa C.,"Versatile Research Consultant and Expert Wordsmith. Editorial, and Design Challenges. Innovative Problem-Solving.",Argentina,,★★★★★,USD 25/hr,N/A
Dr. Aditya S.,"Computational Scientist at Imperial College London | AI, biotech, catalysis, physics | 7 years research experience",Netherlands,,★★★★★,USD 125/hr,N/A
Dr. Chinedu A.,Computational Biology | Bioinformatics | Genomics | Biostatistics | Molecular Biology,United Kingdom,,★★★★★,USD 100/hr,N/A
Dr. Pedro M.,Biomedical Scientist | Life Sciences Advisor | Expert in Gene & RNA therapeutics & Drug Delivery,Portugal,,★★★★★,USD 40/hr,N/A
Dr. Liana B.,"Statistician and Data Analyst, expert in Medical and Technical writing.",United States,,★★★★★,USD 110/hr,N/A
Dr. Tamyres M.,"Biomedical Scientist, PhD in Genetics | Academic and Medical Writer with +300 medical articles",Brazil,,★★★★★,USD 60/hr,N/A
Dr. P Issac N.,Freelance article writing/Data analysis/ Expert in Thin films; Deposition/ man power for deposition &thesis writing,India,,★★★★★,USD 30/hr,N/A
Dr. Glynis J.,Molecular biologist with particular experience in biomedical science,South Africa,,★★★★★,USD 35/hr,N/A
Dr. Marija R.,Economist & Statistician,Serbia,,★★★★★,USD 40/hr,N/A
Dr. Kimberly B.,Medical Science Writer: 20+ years of neuroscience research experience (and a proclivity for statistics),United States,,★★★★★,USD 80/hr,N/A
Dr. Carlos R.,"PhD in chemistry, professional chemistry, university professor and industrial engineer, 15+ y experience in chemistry, analytical chemistry, statistics, research and development, food and polymers",Venezuela,,★★★★★,USD 35/hr,N/A
Dr. Madhuleena D.,Research scientist and scientific writer of engineering with expertise in brain sciences and nanotechnology.,Germany,,★★★★★,USD 50/hr,N/A
Dr. Valerio E.,"PhD professional - Drug Discovery, Cell, DNA, RNA and Protein Assays, Bioinfomatics RNA-seq Analysis, Technical Writing",United States,,★★★★★,USD 80/hr,N/A
Dr. Margaret S.,"Experienced medical writer, consultant, and advisor with over a decade of expertise in clinical medicine and research",Canada,,★★★★★,USD 100/hr,N/A
Dr. Manal Y.,"Scientific editor, peer review and journal selection expert at Enago(Crimson interactive)",Egypt,,★★★★★,USD 50/hr,N/A
Dr. Maksym O.,"Health Economist with US PhD, experienced in Data Analytics, Machine Learning and Writing",Ukraine,,★★★★★,USD 50/hr,N/A
Dr. Alberto C.,Economics Researcher and Market Insights Expert with 10+ years of experience || PhD in Behavioral Macroeconomics,Italy,,★★★★★,USD 75/hr,N/A
Dr. Muhammad A.,"Freelance in Research Proposal writing, Expert in Mycology, Plant Pathology, Environmental Sciences. 10 years experience",Pakistan,,★★★★★,USD 15/hr,N/A
Dr. Umer M.,Researcher/Scientist/Expert in Polymer materials/Expert in organic Photovoltaics and solar cells/solar energy,Pakistan,,★★★★★,USD 60/hr,N/A
Dr. Stephen M.,"Freelance Geochemist, Geobiologist & Solid-state Physicist with 25+ years of experience in Research and Academia",Hungary,,★★★★★,USD 250/hr,N/A
Dr. Girisha V.,Freelance medical and non-medical write/content creator at your service :),United Kingdom,,★★★★★,USD 20/hr,N/A
Dr. Serena G.,"PhD in Nutrition and Metabolism, expert in microbiome data analysis",Italy,,★★★★★,USD 20/hr,N/A
Dr. Sergio P.,MDR Consultant / CER writer,Spain,,★★★★★,USD 55/hr,N/A
Dr. Ilias Z.,"Neuroscience Data Integration Specialist | Expert in Knowledge Curation, FAIR Principles, and Metadata Standards",Italy,,★★★★★,USD 70/hr,N/A
Dr. Abhijeet L.,Materials Researcher|Polymer Derived Ceramic Expert|Catalysis/Energy Materials|ceramic composites|Polymer synthesis,Austria,,★★★★★,USD 70/hr,N/A
Dr. Lorenzo E.,Physical Chemical and Analytical Research | Data Analyst in R and Python,United States,,★★★★★,USD 10/hr,N/A
Dr. Muhammad Shakir R.,"Expert in Clinical Research, Academic Writing, Data Analytics, Systematic Reviews | 270+ Projects |50+ Certifications",Pakistan,,★★★★★,USD 60/hr,N/A
Dr. Osman A.,Optical System Designer,Turkey,,★★★★★,USD 60/hr,N/A
